model,cv_accuracy,cv_tpr,cv_fpr,test_accuracy,test_tpr,test_fpr,training_time
MLP,0.9985354927636113,0.7218363256124838,0.0002163436407666214,0.9969848380427292,0.44074074074074077,0.0004154405400727021,350.45325660705566
SVM,0.9889774293590629,0.9596312586404784,0.0108906534169258,0.9900068917987594,0.9481481481481482,0.0097974727367145,37928.32202386856
RandomForest,0.9992289800137836,0.8391785163364908,4.759432487456095e-05,0.9994314266023432,0.8888888888888888,5.193006750908776e-05,589.2517924308777
AdaBoost,0.99815644383184,0.7123117882926258,0.0005495146863311,0.9982253618194348,0.7296296296296296,0.0005193006750908,1397.2895855903623
KNN,0.9991686767746382,0.8200268915800688,2.162966630983912e-05,0.9993797381116472,0.8666666666666667,0.0,175.39225912094116
